TP,0705,BER,KTW,294,21,170,287,14:50,FRIDAY
FS,0596,TZX,AAR,761,64,49,45,07:54,THURSDAY
FJ,0612,BHD,TPS,113,98,128,180,16:41,MONDAY
CX,0930,LJU,NCL,741,17,11,159,02:40,WEDNESDAY
IR,0224,OLB,VKO,643,75,88,120,06:49,TUESDAY
5Z,0373,BOJ,BRU,411,78,109,296,01:46,SATURDAY
TA,0679,MAD,TIV,97,17,195,344,14:33,THURSDAY
LG,0092,TBS,BRI,596,04,74,338,20:12,SUNDAY
XW,0938,OSL,LCA,188,18,173,295,18:30,SUNDAY
KE,0930,SZZ,PIK,694,16,148,254,23:30,SATURDAY
GF,0633,BSL,DBV,924,86,46,181,04:03,THURSDAY
AC,0366,GVA,TKU,370,21,202,340,18:32,MONDAY
LP,0828,BMA,BLQ,746,82,85,29,01:30,TUESDAY
SB,0126,TRD,RTM,931,68,276,187,14:05,MONDAY
CO,0225,KRS,BIQ,394,72,248,116,01:46,SUNDAY
CL,0788,BUD,CRL,28,64,101,327,21:31,THURSDAY
KL,0061,SAW,SDR,721,70,197,41,08:56,MONDAY
LH,0465,TIV,HAU,532,52,199,241,08:56,TUESDAY
MX,0190,EMA,MSQ,642,57,101,220,08:05,FRIDAY
IA,0316,TLN,LGW,239,35,40,315,17:16,MONDAY
UN,0500,NAP,BJV,656,23,5,178,18:51,FRIDAY
UN,0056,LIS,CLJ,940,32,48,68,16:04,TUESDAY
VW,0732,HUY,BCN,322,87,131,225,12:50,MONDAY
5Z,0370,HHN,FSC,471,84,199,78,08:41,SATURDAY
PE,0174,LIL,BSL,539,69,183,57,09:03,TUESDAY
BL,0081,EVN,SOF,753,75,71,301,21:00,FRIDAY
AN,0385,FAO,ALC,970,28,17,157,23:06,SUNDAY
TP,0472,KBP,BOJ,154,50,46,301,07:57,SATURDAY
NH,0627,BES,JMK,643,53,285,342,06:03,WEDNESDAY
KE,0203,LGG,SOU,574,90,98,358,21:16,THURSDAY
LA,0126,BRS,ABZ,295,42,34,322,02:54,SUNDAY
3Q,0604,CHQ,TZX,255,38,83,117,22:37,SUNDAY
FM,0316,SDR,TFS,956,97,103,238,04:34,WEDNESDAY
RG,0914,ADB,TFS,443,85,280,253,08:42,SATURDAY
KU,0709,HUY,WMI,855,10,233,216,05:25,TUESDAY
SV,0643,PRN,TPS,743,28,222,50,00:08,MONDAY
EB,0235,MLA,GYD,401,34,48,271,19:28,WEDNESDAY
LR,0128,TMP,GRX,659,24,285,86,14:50,THURSDAY
LY,0031,ZAZ,HHN,701,54,243,185,23:46,FRIDAY
NH,0818,LGW,LED,865,92,28,233,16:43,MONDAY
KE,0070,HAJ,TGD,470,09,3,201,08:39,TUESDAY
AM,0878,FSC,FAO,448,16,203,96,07:45,WEDNESDAY
A2,0528,ACE,SVO,149,30,3,134,16:26,TUESDAY
CV,0853,INI,LEJ,335,74,220,280,11:23,WEDNESDAY
LH,0137,GOA,MUC,584,80,232,313,02:19,MONDAY
SA,0682,TIA,EMA,640,57,185,329,06:14,WEDNESDAY
SA,0744,VST,CAG,515,11,291,84,11:04,SUNDAY
ZN,0023,CHQ,TZL,986,85,143,35,15:17,THURSDAY
UA,0471,CDG,LBA,646,44,81,283,15:18,THURSDAY
TP,0251,SKP,ACE,20,52,51,196,02:44,MONDAY
JO,0743,OSL,JMK,570,77,215,280,17:20,THURSDAY
ES,0529,PMO,CAG,513,93,83,266,07:28,FRIDAY
FJ,0516,AAL,GYD,973,96,171,302,18:56,FRIDAY
JD,0847,PDL,KRK,145,79,155,9,13:36,TUESDAY
SV,0882,CPH,FAO,463,90,208,55,17:24,MONDAY
LY,0037,ABZ,SDR,423,77,74,186,04:18,MONDAY
FC,0265,AHO,CIY,225,13,113,254,14:17,SATURDAY
PK,0432,ATH,NTE,17,12,29,265,15:09,FRIDAY
CZ,0679,GRZ,KUN,337,58,265,298,10:15,TUESDAY
7F,0434,NRN,CAG,924,50,279,335,03:24,THURSDAY
EZ,0463,HHN,WMI,54,91,283,91,16:09,SATURDAY
AN,0566,VNO,BRS,739,92,121,296,19:50,SUNDAY
JU,0423,SAW,GRO,802,81,199,53,10:09,SATURDAY
LA,0894,SZZ,VST,890,17,246,112,12:32,SUNDAY
HG,0639,LGG,BMA,412,56,280,65,21:08,WEDNESDAY
KM,0021,JTR,MMX,943,20,213,145,18:58,WEDNESDAY
RS,0573,BLL,ZTH,572,14,20,89,12:16,SATURDAY
FI,0856,OUL,AGP,214,91,246,211,23:48,THURSDAY
MS,0425,RMU,CTA,745,74,28,345,21:35,MONDAY
AU,0443,BRI,MST,713,27,75,23,16:37,MONDAY
3Q,0244,FNC,ZAZ,339,21,0,2,17:55,WEDNESDAY
JW,0703,VIE,MPL,815,97,298,120,13:17,MONDAY
LO,0078,VNO,KTW,335,91,147,142,13:14,SUNDAY
MR,0265,AAR,SKP,889,87,75,310,19:27,TUESDAY
AF,0943,KEF,SVQ,375,05,290,331,03:04,SATURDAY
MS,0165,PMO,INI,21,39,34,61,21:47,TUESDAY
VX,0731,MAD,DUB,365,16,26,21,00:10,WEDNESDAY
5C,0071,DTM,VAA,808,05,133,227,21:15,TUESDAY
D5,0992,ODS,BRU,118,85,276,167,03:50,WEDNESDAY
FM,0749,DBV,BTS,12,63,187,124,20:59,WEDNESDAY
FS,0192,TZX,BDS,844,67,88,69,16:59,SUNDAY
MF,0663,LEI,LGG,75,79,110,82,10:41,THURSDAY
VP,0104,NOC,GVA,498,54,186,308,20:50,MONDAY
EG,0496,SVG,SOF,451,65,123,54,15:44,FRIDAY
CP,0838,KEF,MAN,549,31,240,261,02:25,THURSDAY
SU,0975,REU,DTM,692,29,48,121,17:10,SUNDAY
UX,0587,INN,CAG,670,53,53,262,12:58,SUNDAY
EI,0545,SKP,KEF,936,31,180,349,15:19,SATURDAY
BL,0746,ZTH,KTW,443,79,270,264,04:54,SATURDAY
EZ,0271,JER,MUC,929,26,187,354,03:53,THURSDAY
AT,0799,OUL,AAR,237,00,58,196,03:44,SUNDAY
GB,0888,LEI,BRE,696,26,235,169,01:08,MONDAY
CP,0746,DUS,BJV,782,78,197,63,17:11,TUESDAY
RB,0625,VST,AHO,320,14,290,46,19:31,SUNDAY
UK,0993,RNS,MLA,668,03,82,329,04:42,MONDAY
LB,0692,SVO,MPL,199,08,130,289,08:14,TUESDAY
EH,0292,OSL,DEB,959,87,212,347,04:13,THURSDAY
LA,0880,RHO,BOD,505,99,223,93,09:09,THURSDAY
OK,0371,DTM,CIY,648,52,167,137,09:38,SUNDAY
BR,0473,ZAD,ANR,657,22,90,11,07:55,SUNDAY
